# SOURCE: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 370:         5.377       51.451      22.60  EINDHOVEN
# 380:         5.762       50.906     114.30  MAASTRICHT
#
# YYYYMMDD = Date (YYYY=year MM=month DD=day);
# FXX      = Strongest wind gust (in 0.1 m/s);
# TG       = Average temperature (in 0.1 degrees Celsius);
# TN       = Minimum temperature (in 0.1 degrees Celsius);
# TNH      = Hour in which TN is measured;
# TX       = Maximum temperature (in 0.1 degrees Celsius);
# TXH      = Hour in which TX is measured;
# SQ       = Duration of Sunshine (in 0.1 hours);
# DR       = Duration of precipitation (in 0.1 hours);
#
# STN,YYYYMMDD,  FXX,   TG,   TN,  TNH,   TX,  TXH,   SQ,   DR
#
  260,20180101,  190,   68,   52,   24,   88,    1,   21,   69
  260,20180102,  140,   65,   45,    2,   91,   24,   14,   62
  260,20180103,  290,   88,   54,    7,  112,    3,    2,   51
  260,20180104,  180,   82,   68,   14,  107,   17,    2,   16
  260,20180105,  150,   64,   44,   18,   87,   15,    0,   24
  260,20180106,   80,   45,   22,   24,   66,   13,    7,    0
  260,20180107,  120,   10,  -12,   24,   31,   13,   62,    0
  260,20180108,  110,   11,  -14,    2,   39,   14,   65,    0
  260,20180109,  100,   30,   -2,    5,   61,   23,    3,    0
  260,20180110,   60,   69,   58,    1,   76,   15,    0,   58
  260,20180111,   50,   57,   28,    5,   76,   13,    0,    0
  260,20180112,   40,   50,   41,   24,   59,   13,    0,    0
  260,20180113,   90,   42,   12,   21,   62,   14,    0,    0
  260,20180114,   90,   29,    8,   23,   52,   14,   50,    0
  260,20180115,  180,   52,   17,    1,   80,   21,    0,   95
  260,20180116,  190,   52,   25,   23,   69,   12,   29,   39
  260,20180117,  160,   46,   20,    9,   60,   19,    5,   22
  260,20180118,  340,   47,    5,   20,  102,    8,    4,   65
  260,20180119,  110,   37,   14,   22,   69,   13,   25,   31
  260,20180120,   70,   22,    8,    7,   36,   14,    4,   20
  260,20180121,   90,   30,   -4,    2,   69,   14,   48,   27
  260,20180122,   90,   63,   20,    1,   84,   12,    5,   19
  260,20180123,  130,   81,   46,    5,  112,   24,    9,   40
  260,20180124,  180,  117,   73,   22,  144,   13,    0,   41
  260,20180125,  100,   77,   50,   24,   92,   12,    6,    1
  260,20180126,   50,   54,   25,    4,   86,   14,   12,    0
  260,20180127,  140,   58,   44,    3,   72,   13,   20,   36
  260,20180128,  130,   97,   69,    1,  108,   24,   17,    0
  260,20180129,  150,   88,   46,   24,  107,   14,    0,   28
  260,20180130,   80,   47,   21,   22,   74,   13,   62,    0
  260,20180131,  160,   65,   32,   20,   95,    6,    0,   64
  260,20180201,  100,   34,   19,    6,   61,   15,   25,   43
  260,20180202,  120,   44,   -5,   24,   68,   13,   21,   45
  260,20180203,  110,   20,   -4,    1,   46,   13,    3,   22
  260,20180204,  140,   17,   -4,    1,   36,   14,   36,    0
  260,20180205,   90,   10,  -21,   23,   34,   13,   17,    0
  260,20180206,   90,  -21,  -46,    7,   20,   15,   73,    0
